REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,18
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,International students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,12
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,"Not reported, status of student in Canada",0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,18
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,International students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,72
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,International students,6
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,195
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,39
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,6
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,Canadian students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,International students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,Canadian students,150
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,International students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,Canadian students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,International students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,30
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,18
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Male gender,Canadian students,69
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Male gender,International students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Female gender,Canadian students,138
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Female gender,International students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Gender unknown,Canadian students,12
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,132
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,12
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,84
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,21
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,6
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,International students,0
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Humanities [3],Male gender,Canadian students,3
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Humanities [3],Female gender,Canadian students,12
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,78
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,International students,3
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,177
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,International students,12
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,6
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,567
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,International students,81
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,"Not reported, status of student in Canada",3
2018/2019,Nova Scotia,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,846
